('DAI93865', 'FRO40251') 1.0
('GRO85051', 'FRO40251') 0.999176276771005
('GRO38636', 'FRO40251') 0.9906542056074766
('ELE12951', 'FRO40251') 0.9905660377358491
('DAI88079', 'FRO40251') 0.9867256637168141
('FRO92469', 'FRO40251') 0.983510011778563
('DAI43868', 'SNA82528') 0.972972972972973
('DAI23334', 'DAI62779') 0.9545454545454546
('ELE92920', 'DAI62779') 0.7326649958228906
('DAI53152', 'FRO40251') 0.717948717948718
('SNA18336', 'DAI62779') 0.7136812411847673
('ELE55848', 'GRO32086') 0.7094594594594594
('GRO89004', 'ELE25077') 0.698051948051948
('GRO81647', 'GRO73461') 0.6775510204081633
('DAI37288', 'ELE32164') 0.6464088397790055
('SNA18336', 'ELE92920') 0.6417489421720733
('ELE32244', 'ELE66600') 0.6403508771929824
('FRO47962', 'DAI75645') 0.6176470588235294
('FRO73056', 'GRO44993') 0.6016483516483516
('FRO19221', 'DAI62779') 0.5976714100905562
('SNA44451', 'DAI18527') 0.5828571428571429
('FRO17734', 'ELE28189') 0.5815602836879432
('DAI46755', 'FRO81176') 0.5803921568627451
('ELE88583', 'SNA24799') 0.5792682926829268
('SNA95666', 'FRO85978') 0.5758706467661692
('FRO41939', 'ELE66810') 0.5735294117647058
('GRO81045', 'GRO46854') 0.5674603174603174
('DAI16732', 'FRO78087') 0.5668449197860963
('ELE81534', 'DAI62779') 0.5633802816901409
('DAI43223', 'ELE32164') 0.5511627906976744
('ELE59028', 'DAI62779') 0.549777117384844
('DAI55148', 'DAI62779') 0.5394871794871795
('SNA30859', 'GRO24246') 0.53125
('ELE20847', 'FRO40251') 0.530562347188264
('SNA30533', 'SNA96271') 0.5090361445783133
('ELE21353', 'DAI62779') 0.5023255813953489
('ELE20847', 'SNA80324') 0.5012224938875306
('DAI23334', 'ELE92920') 0.5
('GRO30912', 'ELE88583') 0.5
('GRO30912', 'DAI62779') 0.49047619047619045
('DAI42083', 'DAI92600') 0.4904214559386973
('GRO23573', 'DAI62779') 0.4889705882352941
('GRO89148', 'DAI62779') 0.4868421052631579
('DAI67189', 'DAI62779') 0.4857142857142857
('SNA82528', 'DAI43868') 0.48484848484848486
('SNA93730', 'DAI62779') 0.48125
('GRO29598', 'DAI62779') 0.4766355140186916
('DAI83031', 'DAI94679') 0.47474747474747475
('SNA80324', 'FRO40251') 0.46386333771353483
('DAI75645', 'FRO40251') 0.4583333333333333
('DAI88088', 'ELE38289') 0.45685279187817257
('GRO59710', 'ELE32164') 0.4545908183632735
('ELE28189', 'FRO17734') 0.45429362880886426
('ELE78169', 'GRO94758') 0.45161290322580644
('ELE25077', 'GRO89004') 0.4497907949790795
('ELE69552', 'FRO19221') 0.44884488448844884
('ELE88583', 'DAI62779') 0.4481707317073171
('FRO47962', 'GRO73461') 0.4477124183006536
('ELE69552', 'DAI62779') 0.44224422442244227
('SNA53220', 'SNA93860') 0.4379310344827586
('ELE99737', 'DAI85309') 0.4346965699208443
('DAI22534', 'DAI62779') 0.42857142857142855
('SNA24799', 'DAI62779') 0.42857142857142855
('SNA53220', 'DAI62779') 0.42758620689655175
('DAI94679', 'DAI83031') 0.4259818731117825
('ELE30182', 'SNA24799') 0.41605839416058393
('FRO92469', 'SNA80324') 0.41460541813898705
('DAI75645', 'SNA80324') 0.4130116959064328
('ELE24630', 'DAI62779') 0.411214953271028
('ELE17451', 'DAI62779') 0.41083870967741937
('FRO74605', 'FRO40251') 0.4099616858237548
('SNA38068', 'DAI62779') 0.40567200986436497
('FRO74605', 'GRO73461') 0.40229885057471265
('DAI85309', 'DAI62779') 0.40034888791975576
('DAI43223', 'GRO59710') 0.39689922480620154
('GRO33815', 'DAI50913') 0.3959537572254335
('ELE24630', 'ELE26917') 0.3956386292834891
('SNA57865', 'DAI62779') 0.3948051948051948
('SNA59903', 'ELE17451') 0.3939393939393939
('FRO61354', 'SNA80324') 0.39111111111111113
('GRO85051', 'SNA80324') 0.38797364085667213
('SNA31619', 'SNA96271') 0.3879003558718861
('DAI70456', 'ELE37770') 0.3864168618266979
('GRO30386', 'DAI62779') 0.38532608695652176
('SNA59903', 'DAI62779') 0.3838383838383838
('GRO17075', 'DAI62779') 0.3831417624521073
('SNA66583', 'GRO46854') 0.3831417624521073
('ELE78169', 'DAI62779') 0.3817204301075269
('SNA93860', 'DAI62779') 0.3816631130063966
('FRO64631', 'SNA99873') 0.3812316715542522
('ELE12792', 'DAI62779') 0.38100961538461536
('DAI18527', 'SNA44451') 0.3805970149253731
('ELE92920', 'SNA18336') 0.38011695906432746
('SNA24799', 'ELE88583') 0.376984126984127
('SNA18336', 'ELE17451') 0.3765867418899859
('SNA74022', 'SNA96271') 0.3741258741258741
('ELE20847', 'DAI75645') 0.3740831295843521
('ELE37770', 'ELE74482') 0.373015873015873
('SNA80324', 'DAI75645') 0.3712220762155059
('FRO61354', 'DAI62779') 0.3711111111111111
('ELE78169', 'SNA45677') 0.36917562724014336
('SNA59903', 'DAI88807') 0.3681257014590348
('SNA96466', 'DAI62779') 0.3675889328063241
('GRO44993', 'FRO73056') 0.3671416596814753
('ELE30933', 'DAI87448') 0.3669724770642202
('DAI22240', 'ELE37048') 0.36683417085427134
('ELE30933', 'GRO73461') 0.363914373088685
('FRO40251', 'SNA80324') 0.3638237567637207
('GRO69543', 'GRO73461') 0.36281179138321995
('SNA72163', 'DAI88807') 0.3614678899082569
('SNA85241', 'GRO44993') 0.3611940298507463
('SNA55762', 'DAI62779') 0.3602673147023086
('SNA31619', 'DAI62779') 0.3594306049822064
('DAI86167', 'FRO43226') 0.3575757575757576
('DAI94679', 'DAI62779') 0.3564954682779456
('DAI43223', 'DAI62779') 0.3558139534883721
('GRO39357', 'FRO78087') 0.3547297297297297
('DAI42083', 'ELE17451') 0.3544061302681992
('FRO78994', 'DAI62779') 0.3532513181019332
('SNA74022', 'DAI62779') 0.3531468531468531
('DAI55148', 'FRO40251') 0.3517948717948718
('DAI23334', 'ELE17451') 0.34965034965034963
('ELE38289', 'DAI88088') 0.3481624758220503
('SNA59903', 'SNA72163') 0.3479236812570146
('DAI55148', 'SNA80324') 0.3476923076923077
('DAI88352', 'DAI62779') 0.34649122807017546
('DAI83733', 'DAI62779') 0.3422897196261682
('GRO83463', 'DAI62779') 0.34191176470588236
('SNA96271', 'DAI62779') 0.3413127413127413
('DAI48126', 'DAI62779') 0.3405275779376499
('ELE92629', 'ELE26917') 0.3392857142857143
('FRO99372', 'DAI62779') 0.33663366336633666
('ELE20847', 'DAI62779') 0.33618581907090467
('ELE36909', 'DAI62779') 0.3333333333333333
('FRO79022', 'DAI62779') 0.33155792276964047
('GRO88324', 'DAI62779') 0.33146853146853145
('DAI88079', 'DAI75645') 0.32964601769911506
('ELE11160', 'DAI63921') 0.3257328990228013
('GRO85051', 'DAI75645') 0.32537067545304776
('GRO95519', 'DAI62779') 0.325
('SNA40408', 'DAI62779') 0.3248587570621469
('GRO81087', 'DAI62779') 0.32459016393442625
('FRO40251', 'DAI75645') 0.3231125998454007
('DAI75645', 'DAI62779') 0.3223684210526316
('GRO94758', 'DAI62779') 0.32169241101410345
