('DAI23334', 'ELE92920', 'DAI62779') 1.0
('DAI31081', 'GRO85051', 'FRO40251') 1.0
('DAI55911', 'GRO85051', 'FRO40251') 1.0
('DAI62779', 'DAI88079', 'FRO40251') 1.0
('DAI75645', 'GRO85051', 'FRO40251') 1.0
('ELE17451', 'GRO85051', 'FRO40251') 1.0
('ELE20847', 'FRO92469', 'FRO40251') 1.0
('ELE20847', 'GRO85051', 'FRO40251') 1.0
('ELE26917', 'GRO85051', 'FRO40251') 1.0
('FRO53271', 'GRO85051', 'FRO40251') 1.0
('GRO21487', 'GRO85051', 'FRO40251') 1.0
('GRO38814', 'GRO85051', 'FRO40251') 1.0
('GRO73461', 'GRO85051', 'FRO40251') 1.0
('GRO85051', 'SNA45677', 'FRO40251') 1.0
('GRO85051', 'SNA80324', 'FRO40251') 1.0
('DAI62779', 'GRO85051', 'FRO40251') 0.9973821989528796
('DAI75645', 'DAI88079', 'FRO40251') 0.9932885906040269
('DAI88079', 'GRO73461', 'FRO40251') 0.993103448275862
('DAI88079', 'ELE17451', 'FRO40251') 0.9919354838709677
('FRO92469', 'GRO73461', 'FRO40251') 0.9906103286384976
('DAI62779', 'FRO92469', 'FRO40251') 0.9834710743801653
('ELE17451', 'FRO92469', 'FRO40251') 0.9818181818181818
('DAI75645', 'FRO92469', 'FRO40251') 0.98046875
('DAI88079', 'SNA80324', 'FRO40251') 0.9788732394366197
('FRO92469', 'SNA80324', 'FRO40251') 0.9744318181818182
('DAI55148', 'FRO92469', 'FRO40251') 0.9722222222222222
('ELE92920', 'GRO81087', 'DAI62779') 0.9571428571428572
('DAI85309', 'ELE92920', 'DAI62779') 0.9502487562189055
('ELE92920', 'SNA18336', 'DAI62779') 0.9494505494505494
('GRO15017', 'SNA18336', 'DAI62779') 0.9292035398230089
('DAI83733', 'ELE92920', 'DAI62779') 0.9279279279279279
('ELE17451', 'SNA18336', 'DAI62779') 0.9138576779026217
('ELE17451', 'ELE92920', 'DAI62779') 0.8984375
('DAI42083', 'DAI62779', 'DAI92600') 0.8974358974358975
('ELE92920', 'GRO15017', 'DAI62779') 0.8881987577639752
('ELE59028', 'FRO85978', 'DAI62779') 0.874251497005988
('DAI85309', 'SNA18336', 'DAI62779') 0.8728323699421965
('ELE21353', 'FRO19221', 'DAI62779') 0.8709677419354839
('ELE59028', 'SNA93860', 'DAI62779') 0.8571428571428571
('ELE17451', 'SNA18336', 'ELE92920') 0.8539325842696629
('DAI62779', 'SNA18336', 'ELE92920') 0.8537549407114624
('FRO19221', 'SNA53220', 'DAI62779') 0.8451612903225807
('DAI42493', 'SNA18336', 'DAI62779') 0.8384615384615385
('ELE99737', 'FRO19221', 'DAI85309') 0.8345864661654135
('FRO19221', 'SNA93860', 'DAI62779') 0.8278145695364238
('ELE92920', 'GRO59710', 'DAI62779') 0.8226950354609929
('ELE17451', 'GRO85051', 'DAI62779') 0.8202764976958525
('FRO47962', 'GRO73461', 'DAI75645') 0.8102189781021898
('ELE74009', 'ELE92920', 'DAI62779') 0.8076923076923077
('ELE32164', 'SNA18336', 'DAI62779') 0.8064516129032258
('DAI85309', 'SNA18336', 'ELE92920') 0.8034682080924855
('ELE17451', 'GRO94758', 'DAI62779') 0.7929515418502202
('DAI75645', 'ELE92920', 'DAI62779') 0.7926829268292683
('DAI42493', 'ELE92920', 'DAI62779') 0.7887323943661971
('ELE59028', 'SNA93860', 'FRO85978') 0.7577639751552795
('FRO19221', 'SNA93860', 'SNA53220') 0.7549668874172185
('ELE32164', 'ELE92920', 'DAI62779') 0.7366071428571429
('FRO19221', 'SNA53220', 'SNA93860') 0.7354838709677419
('ELE59028', 'FRO85978', 'SNA93860') 0.7305389221556886
('ELE17451', 'GRO85051', 'SNA80324') 0.728110599078341
('ELE92920', 'FRO40251', 'DAI62779') 0.7136150234741784
('FRO40251', 'SNA18336', 'DAI62779') 0.7132867132867133
('DAI85309', 'ELE17451', 'DAI62779') 0.7033195020746889
('FRO19221', 'GRO73461', 'DAI62779') 0.7029702970297029
('ELE17451', 'SNA80324', 'DAI62779') 0.6984924623115578
('DAI43223', 'ELE17451', 'DAI62779') 0.696319018404908
('DAI85309', 'ELE92920', 'SNA18336') 0.6915422885572139
('DAI85309', 'SNA18336', 'ELE17451') 0.6878612716763006
('DAI85309', 'ELE92920', 'ELE17451') 0.681592039800995
('ELE99737', 'GRO94758', 'DAI85309') 0.68
('DAI62779', 'ELE99737', 'DAI85309') 0.6783042394014963
('DAI85309', 'FRO19221', 'ELE99737') 0.6607142857142857
('ELE17451', 'GRO15017', 'DAI62779') 0.6491228070175439
('ELE17451', 'SNA38068', 'DAI62779') 0.6378378378378379
('DAI42083', 'ELE17451', 'DAI92600') 0.6324324324324324
('DAI43223', 'ELE17451', 'ELE32164') 0.6319018404907976
('DAI43223', 'DAI62779', 'ELE32164') 0.6252723311546841
('DAI62779', 'SNA53220', 'SNA93860') 0.6209677419354839
('ELE17451', 'GRO81087', 'DAI62779') 0.6106870229007634
('SNA53220', 'SNA93860', 'DAI62779') 0.6062992125984252
('DAI43223', 'GRO73461', 'ELE32164') 0.6032608695652174
('DAI75645', 'ELE17451', 'DAI62779') 0.5996343692870201
('DAI31081', 'GRO59710', 'ELE32164') 0.5989304812834224
('ELE17451', 'ELE92920', 'SNA18336') 0.59375
('DAI62779', 'DAI92600', 'DAI42083') 0.5932203389830508
('FRO85978', 'SNA93860', 'DAI62779') 0.5931558935361216
('DAI31081', 'DAI75645', 'FRO40251') 0.5922330097087378
('GRO94758', 'SNA80324', 'FRO40251') 0.591743119266055
('ELE17451', 'SNA80324', 'FRO40251') 0.5912897822445561
('DAI75645', 'GRO94758', 'SNA80324') 0.5911330049261084
('DAI62779', 'SNA59903', 'ELE17451') 0.5906432748538012
('ELE99737', 'SNA45677', 'DAI85309') 0.5898876404494382
('GRO81087', 'SNA80324', 'FRO40251') 0.5891891891891892
('DAI75645', 'FRO47962', 'GRO73461') 0.5873015873015873
('FRO53271', 'SNA80324', 'FRO40251') 0.5867346938775511
('FRO53271', 'GRO59710', 'ELE32164') 0.5865921787709497
('DAI75645', 'FRO53271', 'FRO40251') 0.5857142857142857
('GRO81087', 'SNA80324', 'DAI75645') 0.5837837837837838
('DAI42493', 'ELE17451', 'DAI62779') 0.5833333333333334
('ELE17451', 'FRO40251', 'DAI62779') 0.5824964131994261
('SNA55762', 'SNA80324', 'DAI75645') 0.582089552238806
('DAI75645', 'GRO94758', 'FRO40251') 0.5812807881773399
('ELE32164', 'GRO30386', 'DAI62779') 0.5784313725490197
('ELE17451', 'SNA59903', 'DAI62779') 0.5754985754985755
('DAI92600', 'ELE17451', 'DAI42083') 0.5735294117647058
('DAI55911', 'FRO40251', 'GRO85051') 0.5732758620689655
('DAI75645', 'GRO30386', 'DAI62779') 0.5732217573221757
('GRO30386', 'SNA80324', 'DAI62779') 0.5714285714285714
('ELE17451', 'SNA90094', 'DAI62779') 0.5659340659340659
('ELE20847', 'SNA80324', 'FRO40251') 0.5658536585365853
('FRO40251', 'GRO94758', 'SNA80324') 0.5608695652173913
('DAI43223', 'GRO59710', 'ELE32164') 0.560546875
('GRO71621', 'SNA80324', 'FRO40251') 0.5590551181102362
('ELE78169', 'SNA45677', 'GRO94758') 0.558252427184466
('DAI62779', 'ELE20847', 'SNA80324') 0.5563636363636364
('ELE17451', 'FRO78087', 'DAI62779') 0.555045871559633
('DAI55148', 'SNA80324', 'DAI62779') 0.5545722713864307
('DAI55148', 'FRO40251', 'DAI62779') 0.5510204081632653
('GRO94758', 'SNA80324', 'DAI75645') 0.5504587155963303
('GRO30386', 'SNA80324', 'DAI75645') 0.5504201680672269
('DAI85309', 'SNA55762', 'DAI62779') 0.5497630331753555
('DAI75645', 'ELE17451', 'SNA80324') 0.5484460694698354
('ELE17451', 'GRO71621', 'DAI62779') 0.5482758620689655
('DAI75645', 'GRO30386', 'SNA80324') 0.5481171548117155
('ELE17451', 'SNA96271', 'DAI62779') 0.5467980295566502
('DAI55148', 'DAI75645', 'DAI62779') 0.5451505016722408
('DAI31081', 'SNA80324', 'FRO40251') 0.544973544973545
('DAI85309', 'ELE32164', 'DAI62779') 0.5444015444015444
('DAI75645', 'GRO81087', 'FRO40251') 0.5436893203883495
('FRO73056', 'GRO73461', 'GRO44993') 0.5435897435897435
('ELE17451', 'ELE32164', 'DAI62779') 0.5420743639921722
('DAI62779', 'ELE20847', 'FRO40251') 0.5381818181818182
('DAI62779', 'GRO85051', 'SNA80324') 0.5366492146596858
('DAI62779', 'GRO59710', 'ELE32164') 0.5365418894830659
('DAI75645', 'ELE20847', 'SNA80324') 0.5359477124183006
('DAI75645', 'GRO21487', 'GRO73461') 0.5352112676056338
('ELE20847', 'FRO40251', 'SNA80324') 0.5345622119815668
('DAI75645', 'ELE17451', 'FRO40251') 0.5338208409506399
('DAI75645', 'GRO46854', 'GRO73461') 0.531578947368421
('GRO30386', 'GRO59710', 'DAI62779') 0.531578947368421
('DAI75645', 'GRO71621', 'FRO40251') 0.5308056872037915
('DAI85309', 'GRO73461', 'DAI62779') 0.5295857988165681
('GRO59710', 'SNA45677', 'ELE32164') 0.5291005291005291
('DAI62779', 'SNA53220', 'FRO19221') 0.5282258064516129
('GRO21487', 'SNA80324', 'FRO40251') 0.5244444444444445
('DAI75645', 'GRO81087', 'SNA80324') 0.5242718446601942
('DAI23334', 'DAI62779', 'ELE92920') 0.5238095238095238
('ELE17451', 'GRO59710', 'DAI62779') 0.5220588235294118
('ELE17451', 'GRO46854', 'DAI62779') 0.5215311004784688
('ELE17451', 'SNA45677', 'DAI62779') 0.5197368421052632
('ELE17451', 'SNA55762', 'DAI62779') 0.5181518151815182
('SNA55762', 'SNA80324', 'FRO40251') 0.5174129353233831
('DAI62779', 'SNA80324', 'FRO40251') 0.5157096424702059
('ELE17451', 'ELE56788', 'DAI62779') 0.5144230769230769
('DAI75645', 'SNA55762', 'FRO40251') 0.5137254901960784
('FRO40251', 'GRO94758', 'DAI75645') 0.5130434782608696
('DAI62779', 'ELE78169', 'GRO94758') 0.5117370892018779
('SNA80324', 'SNA96271', 'FRO40251') 0.5114155251141552
('ELE74009', 'FRO40251', 'DAI75645') 0.5110294117647058
('ELE17451', 'ELE26917', 'DAI62779') 0.5095541401273885
('FRO40251', 'GRO30386', 'DAI62779') 0.5089285714285714
('FRO40251', 'SNA55762', 'DAI75645') 0.5077519379844961
('FRO80039', 'SNA80324', 'FRO40251') 0.5073170731707317
('GRO73461', 'SNA96271', 'DAI62779') 0.5066666666666667
('ELE17451', 'FRO40251', 'SNA80324') 0.5064562410329986
('FRO40251', 'GRO46854', 'GRO73461') 0.5047619047619047
('ELE17451', 'SNA80324', 'DAI75645') 0.5025125628140703
('DAI75645', 'GRO21487', 'FRO40251') 0.5023474178403756
('FRO40251', 'GRO81087', 'DAI75645') 0.5022421524663677
('GRO71621', 'GRO73461', 'DAI62779') 0.5016393442622951
('ELE92920', 'SNA18336', 'ELE17451') 0.5010989010989011
('DAI62779', 'ELE21353', 'FRO19221') 0.5
('DAI75645', 'ELE20847', 'FRO40251') 0.5
('ELE26917', 'SNA80324', 'FRO40251') 0.49812734082397003
('DAI91290', 'ELE17451', 'DAI62779') 0.4977168949771689
('DAI83733', 'ELE17451', 'DAI62779') 0.4966216216216216
('GRO94758', 'SNA80324', 'DAI62779') 0.4954128440366973
('GRO38814', 'SNA80324', 'FRO40251') 0.4953271028037383
('ELE17451', 'GRO59710', 'ELE32164') 0.4950980392156863
('DAI43223', 'DAI62779', 'ELE17451') 0.49455337690631807
('FRO40251', 'SNA96271', 'SNA80324') 0.4933920704845815
('FRO40251', 'GRO71621', 'SNA80324') 0.4930555555555556
('DAI62779', 'ELE92920', 'SNA18336') 0.4925883694412771
('SNA45677', 'SNA80324', 'FRO40251') 0.4921875
('DAI55148', 'ELE17451', 'DAI62779') 0.4918032786885246
('GRO73461', 'SNA55762', 'DAI62779') 0.49099099099099097
('DAI75645', 'SNA45677', 'FRO40251') 0.4897959183673469
('GRO30386', 'GRO73461', 'DAI62779') 0.48947368421052634
('FRO40251', 'GRO69543', 'GRO73461') 0.4889867841409692
('FRO40251', 'GRO81087', 'SNA80324') 0.48878923766816146
('ELE26917', 'SNA80324', 'DAI75645') 0.4868913857677903
('DAI75645', 'SNA80324', 'FRO40251') 0.48672566371681414
('FRO40251', 'GRO30386', 'DAI75645') 0.48660714285714285
('DAI75645', 'GRO85051', 'SNA80324') 0.4860759493670886
('DAI75645', 'ELE74009', 'FRO40251') 0.486013986013986
('DAI75645', 'DAI85309', 'DAI62779') 0.4858490566037736
('DAI75645', 'DAI85309', 'FRO40251') 0.4858490566037736
('FRO40251', 'GRO21487', 'GRO73461') 0.48533333333333334
('ELE17451', 'ELE74009', 'DAI62779') 0.48484848484848486
('DAI62779', 'SNA18336', 'ELE17451') 0.48221343873517786
('DAI75645', 'GRO38814', 'FRO40251') 0.47950819672131145
('DAI43223', 'ELE17451', 'GRO59710') 0.4785276073619632
('DAI62779', 'DAI75645', 'SNA80324') 0.47732426303854875
('GRO38814', 'SNA80324', 'DAI75645') 0.4766355140186916
('DAI62779', 'FRO92469', 'SNA80324') 0.47520661157024796
('ELE74009', 'SNA80324', 'DAI75645') 0.4732142857142857
('DAI83733', 'DAI85309', 'DAI62779') 0.4709897610921502
('DAI62779', 'SNA95666', 'FRO85978') 0.4692982456140351
('DAI75645', 'ELE26917', 'SNA80324') 0.4676258992805755
('DAI62779', 'DAI75645', 'FRO40251') 0.4671201814058957
('GRO44993', 'GRO73461', 'FRO73056') 0.4669603524229075
('ELE17451', 'SNA72163', 'SNA59903') 0.46691176470588236
('ELE17451', 'SNA99873', 'DAI62779') 0.4666666666666667
('DAI62779', 'GRO85051', 'ELE17451') 0.46596858638743455
('ELE17451', 'GRO30386', 'DAI62779') 0.4658119658119658
('DAI75645', 'FRO92469', 'SNA80324') 0.46484375
('FRO85978', 'SNA93860', 'ELE59028') 0.46387832699619774
('DAI75645', 'ELE26917', 'FRO40251') 0.460431654676259
('FRO40251', 'GRO30386', 'SNA80324') 0.45982142857142855
('DAI75645', 'SNA55762', 'SNA80324') 0.4588235294117647
('DAI42083', 'DAI92600', 'ELE17451') 0.45703125
('ELE78169', 'GRO94758', 'SNA45677') 0.45634920634920634
('DAI62779', 'SNA80324', 'DAI75645') 0.4561213434452871
('DAI75645', 'GRO30386', 'FRO40251') 0.4560669456066946
('DAI75645', 'SNA45677', 'SNA80324') 0.4530612244897959
('DAI62779', 'SNA80324', 'ELE17451') 0.4517876489707476
('SNA59903', 'SNA72163', 'DAI88807') 0.45161290322580644
('GRO59710', 'GRO73461', 'ELE32164') 0.4491803278688525
('SNA53220', 'SNA93860', 'FRO19221') 0.44881889763779526
('DAI31081', 'ELE17451', 'DAI62779') 0.44782608695652176
('DAI85309', 'FRO40251', 'DAI62779') 0.4471830985915493
('DAI43223', 'DAI62779', 'GRO59710') 0.4466230936819172
('ELE32164', 'SNA45677', 'GRO59710') 0.44642857142857145
('ELE17451', 'SNA18336', 'DAI85309') 0.44569288389513106
('DAI62779', 'FRO40251', 'SNA80324') 0.44485981308411215
('DAI75645', 'FRO40251', 'SNA80324') 0.43859649122807015
('DAI31081', 'FRO40251', 'DAI75645') 0.4357142857142857
('GRO85051', 'SNA80324', 'DAI62779') 0.43524416135881105
('DAI62779', 'SNA72163', 'SNA59903') 0.4336917562724014
('SNA45677', 'SNA80324', 'DAI75645') 0.43359375
('GRO30386', 'SNA80324', 'FRO40251') 0.4327731092436975
('ELE78169', 'GRO94758', 'DAI62779') 0.43253968253968256
('DAI85309', 'GRO71621', 'DAI62779') 0.42962962962962964
('DAI85309', 'GRO94758', 'ELE99737') 0.42857142857142855
('SNA45677', 'SNA96271', 'DAI62779') 0.4275092936802974
('DAI88807', 'SNA59903', 'SNA72163') 0.4268292682926829
('ELE17451', 'GRO73461', 'DAI62779') 0.4224137931034483
('ELE26917', 'FRO40251', 'GRO85051') 0.42196531791907516
('ELE17451', 'FRO40251', 'DAI75645') 0.41893830703012913
('DAI62779', 'ELE20847', 'DAI75645') 0.41818181818181815
('DAI75645', 'GRO38814', 'SNA80324') 0.4180327868852459
('FRO40251', 'FRO80039', 'SNA80324') 0.41767068273092367
